Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name,data_type,Enrichment
TREM2,IGFQ000949,BBN_10099,SSC,BBN_10099_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.30035,SSC,BBN002_30035_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32247,SSC,BBN003_32247_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9796,MTG,BBN_9796_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_7519,SSC,BBN_7519_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24610,SSC,BBN_24610_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_4575,MTG,BBN_4575_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_13802,SSC,BBN_13802_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32184,SSC,BBN003_32184_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9786,MTG,BBN_9786_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN005.29520,SSC,BBN005_29520_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32209,SSC,BBN003_32209_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32235,MTG,BBN003_32235_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167, BBN_15230,MTG,BBN_15230_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_21792,SSC,BBN_21792_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_7617,MTG,BBN_7617_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9984,SSC,BBN_9984_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167, BBN_24659,MTG,BBN_24659_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32211,SSC,BBN003_32211_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24330,SSC,BBN_24330_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_16213,MTG,BBN_16213_MTG_S2,bulkRNAseq,N/A
TREM2,IGFQ001167, BBN004.29074,MTG,BBN004_29074_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9727,SSC,BBN_9727_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24330,MTG,BBN_24330_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_14795,SSC,BBN_14795_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32212,SSC,BBN003_32212_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9953,MTG,BBN_9953_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_8051,MTG,BBN_8051_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_7519,MTG,BBN_7519_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_10611,SSC,BBN_10611_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32181,MTG,BBN003_32181_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9779,SSC,BBN_9779_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.26094,SSC,BBN002_26094_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32194,SSC,BBN003_32194_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_7540,MTG,BBN_7540_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN005.29520,MTG,BBN005_29520_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_18813,SSC,BBN_18813_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32194,MTG,BBN003_32194_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_11449,MTG,BBN_11449_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.30127,SSC,BBN002_30127_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32227,MTG,BBN003_32227_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32211,MTG,BBN003_32211_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9939,SSC,BBN_9939_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_11804,MTG,BBN_11804_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24578,SSC,BBN_24578_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32228,MTG,BBN003_32228_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_15201,MTG,BBN_15201_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_10099,SSC,BBN_10099_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167, BBN004.29828,MTG,BBN004_29828_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9953,SSC,BBN_9953_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.33729,MTG,BBN003_33729_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_10109,SSC,BBN_10109_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167, BBN_11097,MTG,BBN_11097_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32181,SSC,BBN003_32181_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_24370,SSC,BBN_24370_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.29170,SSC,BBN002_29170_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32205,MTG,BBN003_32205_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32247,MTG,BBN003_32247_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_21005,SSC,BBN_21005_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32212,MTG,BBN003_32212_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_15201,SSC,BBN_15201_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32209,MTG,BBN003_32209_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_18399,SSC,BBN_18399_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32185,MTG,BBN003_32185_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9786,SSC,BBN_9786_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_16213,SSC,BBN_16213_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32196,MTG,BBN003_32196_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9727,MTG,BBN_9727_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_4575,SSC,BBN_4575_SSC_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.26941,MTG,BBN003_26941_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN002.29089,SSC,BBN002_29089_SSC_S2,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN003.32201,MTG,BBN003_32201_MTG_S1,bulkRNAseq,N/A
TREM2,IGFQ001167,BBN_9779,MTG,BBN_9779_MTG_S1,bulkRNAseq,N/A
