,Sample_ID,Sample_Name,I7_Index_ID,Brain region,RNAseq/ATACseq,Enrichment,Sample_Name_original,Sample_Name_normalized
40,IGF106752,C36_1,SI-GA-B12,,,,C36_1,C36
44,IGF106753,C48_1,SI-GA-B7,,,,C48_1,C48
48,IGF106754,C54_1,SI-GA-C1,,,,C54_1,C54
52,IGF106755,PDC39_1,SI-GA-C4,,,,PDC39_1,PDC39
56,IGF106756,PDC40_1,SI-GA-C10,,,,PDC40_1,PDC40
60,IGF106757,PD040_1,SI-GA-D1,,,,PD040_1,PD040
64,IGF106758,PD574_1,SI-GA-D2,,,,PD574_1,PD574
68,IGF106759,PD658_1,SI-GA-D3,,,,PD658_1,PD658
72,IGF106760,PD738_1,SI-GA-D4,,,,PD738_1,PD738
76,IGF106761,PD855_1,SI-GA-D5,,,,PD855_1,PD855
0,IGF108711,MS527_1,SI-GA-C11,,,,MS527_1,MS527
4,IGF108712,MS411_1,SI-GA-B11,,,,MS411_1,MS411
8,IGF108713,MS513_1,SI-GA-B9,,,,MS513_1,MS513
12,IGF108714,MS586_1,SI-GA-C6,,,,MS586_1,MS586
16,IGF108715,MS549_1,SI-GA-C5,,,,MS549_1,MS549
20,IGF108716,MS558_1,SI-GA-C12,,,,MS558_1,MS558
24,IGF108717,MS461_1,SI-GA-B8,,,,MS461_1,MS461
28,IGF108718,MS430_1,SI-GA-B10,,,,MS430_1,MS430
32,IGF108719,C36_1,SI-GA-B12,,,,C36_1,C36
36,IGF108720,C48_1,SI-GA-B7,,,,C48_1,C48
40,IGF108721,C54_1,SI-GA-C1,,,,C54_1,C54
44,IGF108722,PDC39_1,SI-GA-C4,,,,PDC39_1,PDC39
48,IGF108723,PDC40_1,SI-GA-C10,,,,PDC40_1,PDC40
52,IGF108724,MS402_1,SI-GA-F11,,,,MS402_1,MS402
56,IGF108725,MS407_1,SI-GA-F6,,,,MS407_1,MS407
60,IGF108726,MS422_1,SI-GA-F7,,,,MS422_1,MS422
64,IGF108727,MS426_1,SI-GA-F8,,,,MS426_1,MS426
68,IGF108728,MS542_1,SI-GA-G3,,,,MS542_1,MS542
72,IGF108729,MS405_1,SI-GA-F5,,,,MS405_1,MS405
76,IGF108730,MS523_1,SI-GA-F10,,,,MS523_1,MS523
