synapse_file_id  filename
syn53009377  BBN003_32228_EC_S1_L001_R2_001.fastq.gz
syn53056163  BBN003_32228_MTG_S1_L001_R1_001.fastq.gz
syn53056502  BBN003_32228_MTG_S1_L001_R2_001.fastq.gz
syn53008982  BBN003_32228_SSC_S1_L001_R1_001.fastq.gz
syn53009376  BBN003_32228_SSC_S1_L001_R2_001.fastq.gz
syn53008992  BBN003_32235_EC_S1_L001_R1_001.fastq.gz
syn53009380  BBN003_32235_EC_S1_L001_R2_001.fastq.gz
syn53056162  BBN003_32235_MTG_S1_L001_R1_001.fastq.gz
syn53056504  BBN003_32235_MTG_S1_L001_R2_001.fastq.gz
syn53008961  BBN003_32235_SSC_S1_L001_R1_001.fastq.gz
syn53009381  BBN003_32235_SSC_S1_L001_R2_001.fastq.gz
syn53008977  BBN003_32247_EC_S1_L001_R1_001.fastq.gz
syn53009383  BBN003_32247_EC_S1_L001_R2_001.fastq.gz
syn53056170  BBN003_32247_MTG_S1_L001_R1_001.fastq.gz
syn53056515  BBN003_32247_MTG_S1_L001_R2_001.fastq.gz
syn53056178  BBN003_32247_SSC_S1_L001_R1_001.fastq.gz
syn53056520  BBN003_32247_SSC_S1_L001_R2_001.fastq.gz
syn53008985  BBN003_32261_EC_S1_L001_R1_001.fastq.gz
syn53009389  BBN003_32261_EC_S1_L001_R2_001.fastq.gz
syn53056192  BBN003_32261_MTG_S1_L001_R1_001.fastq.gz
syn53056539  BBN003_32261_MTG_S1_L001_R2_001.fastq.gz
syn53008987  BBN003_32295_EC_S1_L001_R1_001.fastq.gz
syn53009390  BBN003_32295_EC_S1_L001_R2_001.fastq.gz
syn53008976  BBN003_32295_SSC_S1_L001_R1_001.fastq.gz
syn53009395  BBN003_32295_SSC_S1_L001_R2_001.fastq.gz
syn53009033  BBN003_32849_EC_S1_L001_R1_001.fastq.gz
syn53009937  BBN003_32849_EC_S1_L001_R2_001.fastq.gz
syn53009043  BBN003_32849_SSC_S1_L001_R1_001.fastq.gz
syn53009941  BBN003_32849_SSC_S1_L001_R2_001.fastq.gz
syn53009042  BBN003_33729_EC_S1_L001_R1_001.fastq.gz
syn53009938  BBN003_33729_EC_S1_L001_R2_001.fastq.gz
syn53056218  BBN003_33729_MTG_S1_L001_R1_001.fastq.gz
syn53056562  BBN003_33729_MTG_S1_L001_R2_001.fastq.gz
syn53009040  BBN003_33729_SSC_S1_L001_R1_001.fastq.gz
syn53009946  BBN003_33729_SSC_S1_L001_R2_001.fastq.gz
syn53009049  BBN003_34161_EC_S1_L001_R1_001.fastq.gz
syn53009948  BBN003_34161_EC_S1_L001_R2_001.fastq.gz
syn53009034  BBN003_34161_SSC_S1_L001_R1_001.fastq.gz
syn53009943  BBN003_34161_SSC_S1_L001_R2_001.fastq.gz
syn53009053  BBN003_35390_EC_S1_L001_R1_001.fastq.gz
syn53009953  BBN003_35390_EC_S1_L001_R2_001.fastq.gz
syn53009045  BBN003_35390_SSC_S1_L001_R1_001.fastq.gz
syn53009955  BBN003_35390_SSC_S1_L001_R2_001.fastq.gz
syn53009027  BBN003_35446_EC_S1_L001_R1_001.fastq.gz
syn53009952  BBN003_35446_EC_S1_L001_R2_001.fastq.gz
syn53009038  BBN003_35446_SSC_S1_L001_R1_001.fastq.gz
syn53009957  BBN003_35446_SSC_S1_L001_R2_001.fastq.gz
syn53009037  BBN003_35519_EC_S1_L001_R1_001.fastq.gz
syn53009960  BBN003_35519_EC_S1_L001_R2_001.fastq.gz
syn53009048  BBN003_35519_SSC_S1_L001_R1_001.fastq.gz
syn53009959  BBN003_35519_SSC_S1_L001_R2_001.fastq.gz
syn53009288  BBN005_29520_EC_S1_L001_R1_001.fastq.gz
syn53016779  BBN005_29520_EC_S1_L001_R2_001.fastq.gz
syn53055620  BBN005_29520_MTG_S1_L001_R1_001.fastq.gz
